provider,hasView,object
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43604.wmv'}, {'@id': 'http://www.amazon.com/dp/B001QFYIZQ'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/31978.wmv'}, {'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/31979.wmv'}, {'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/31980.wmv'}, {'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/31981.wmv'}, {'@id': 'http://www.amazon.com/gp/product/B000XJO1SA'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/videos/MT12242_17NOV2000_6850724.mp4'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/videos/MT12316_09DEC2000_6850717.mp4'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43655.wmv'}, {'@id': 'http://www.amazon.com/dp/B001QFYJ3C'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43660.wmv'}, {'@id': 'http://www.amazon.com/dp/B001NXBZWU'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/028/28-12r1-10.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43665.wmv'}, {'@id': 'http://www.amazon.com/dp/B001OTZPOC'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32692.wmv'}, {'@id': 'http://www.amazon.com/dp/B00101EE8M'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-LC-42258.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-lc-37072.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-lc-44081.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-lc-44036.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-lc-44086.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/30454.wmv'}, {'@id': 'http://www.amazon.com/gp/product/B000UWL23C'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32811.wmv'}, {'@id': 'http://www.amazon.com/dp/B0012JHWT0'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32566.wmv'}, {'@id': 'http://www.amazon.com/dp/B000Z3P3B8'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32842.wmv'}, {'@id': 'http://www.amazon.com/dp/B001201S30'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32840.wmv'}, {'@id': 'http://www.amazon.com/dp/B0012BUWR2'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32904.wmv'}, {'@id': 'http://www.amazon.com/dp/B0018C8JZ2'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32873.wmv'}, {'@id': 'http://www.amazon.com/dp/B0018C5AFY'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32936.wmv'}, {'@id': 'http://www.amazon.com/dp/B00153HM6G'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32997.wmv'}, {'@id': 'http://www.amazon.com/dp/B0012F4QDY'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/32990.wmv'}, {'@id': 'http://www.amazon.com/dp/B0018C1YJA'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/35697.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/34141.wmv'}, {'@id': 'http://www.amazon.com/dp/B0018C1YYK'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/34135.wmv'}, {'@id': 'http://www.amazon.com/dp/B0018C1YWC'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/34187.wmv'}, {'@id': 'http://www.amazon.com/dp/B001ELLCD8'}]",
