use,host,provider,path,total_in_dpla,notes,redirect,platform
YES,dlg.galileo.usg.edu,http://dp.la/api/contributor/georgia,"http://dlg.galileo.usg.edu/news/id:wsbn35848 -> http://dlgmedia1-www.galib.uga.edu/wsbn-f4v/{obj-id}.f4v, http://dlg.galileo.usg.edu/ugabma/gfc/do-mp4:gfc-2028 -> http://dlgmedia1-www.galib.uga.edu/gfc/mp4/gfc-2028.mp4",11542,static url if know object id,"yes, but doesn't matter","flash, flowplayer"
YES,research.archives.gov,http://dp.la/api/contributor/nara,a#downloadVideoAudio['href'],5640,sometimes only first few minutes available for preview/download. nara hasView['@id'] goes straigt to media resource? if hasView['format'] is. Unrestricted rights for 5625 items,yes,wmv
YES,digitallibrary.usc.edu,http://dp.la/api/contributor/usc,cdm:utils/getstream,1770,,,flowplayer
YES,digital.lib.ecu.edu,http://dp.la/api/contributor/digitalnc,"video source[type=""video/mp4""]['href']",277,,,
YES,cdm16786.contentdm.oclc.org,http://dp.la/api/contributor/washington,cdm: utils/gestream,174,,,flowplayer
NO,www.youtube.com,http://dp.la/api/contributor/georgia,download source or youtube-dl,153,"interviews, oral history, fair use",no,youtube/html5
NO,openvault.wgbh.org,http://dp.la/api/contributor/digital-commonwealth,MUST AUTHENTICATE,2887,,,
NO,utah-primoprod.hosted.exlibrisgroup.com,http://api.dp.la/contributor/mwdl,,1894,"no streaming, but has a link to vimeo? has a link to tons of places, might not be a great resource. for now. ",,"linkes to vimeo, youtube etc."
NO,texashistory.unt.edu,http://dp.la/api/contributor/the_portal_to_texas_history,,1071,"won't work with youtube-dl, unclear rights. View this video button. Really hard to get.",,jwplayer
NO,libx.bsu.edu,http://dp.la/api/contributor/indiana,cdm: empty url shortcut,631,"news footage, highly restrictive rights, not worth it. Getstream onl gives blank url, only supports silverlight?",,
NO,elonuniversity.contentdm.oclc.org,http://dp.la/api/contributor/digitalnc,cdm: utils/gestream,240,,,
NO,www.crossroadstofreedom.org,http://dp.la/api/contributor/tn,http://www.crossroadstofreedom.org/view.player?pid=rds:117969 -> http://fedora.crossroadstofreedom.org/fedora/get/rds:117969/video_1.flv,112,interviews? Have transcripts.,,flash
NO,cdm16016.contentdm.oclc.org,http://dp.la/api/contributor/scdl,cdm: utils/getstream,108,mainly interviews with ww vets etc.,,
NO,history.library.gatech.edu,http://dp.la/api/contributor/georgia,div.mejs-mediaelement video['src'],70,interviews?,no,mediaelementjs.com
